Sr.no,State,Year,Quater,Catogery,Count,Amount
207,arunachal-pradesh,2020,2,2,35169,46446966.61
208,arunachal-pradesh,2020,2,3,1310,2655507.696
209,arunachal-pradesh,2020,2,4,1939,1761404.402
210,arunachal-pradesh,2020,3,0,514907,153463816.2
211,arunachal-pradesh,2020,3,1,370418,2361603431
212,arunachal-pradesh,2020,3,2,72736,88145178.69
213,arunachal-pradesh,2020,3,3,1761,4030599.917
214,arunachal-pradesh,2020,3,4,3005,2695539.361
215,arunachal-pradesh,2020,4,0,522019,3254744938
216,arunachal-pradesh,2020,4,1,513895,152389181.2
217,arunachal-pradesh,2020,4,2,167387,156682926
218,arunachal-pradesh,2020,4,3,1749,2391651.878
219,arunachal-pradesh,2020,4,4,4079,4055324.315
220,arunachal-pradesh,2021,1,0,566209,3460488559
221,arunachal-pradesh,2021,1,1,450649,142358376.9
222,arunachal-pradesh,2021,1,2,155966,204958020.1
223,arunachal-pradesh,2021,1,3,1558,2672460.474
224,arunachal-pradesh,2021,1,4,3074,3301662.609
225,arunachal-pradesh,2021,2,0,762946,4000960152
226,arunachal-pradesh,2021,2,1,556680,165579844.3
227,arunachal-pradesh,2021,2,2,243375,283709438.5
228,arunachal-pradesh,2021,2,3,1582,2761076.793
229,arunachal-pradesh,2021,2,4,3755,3415105.338
230,arunachal-pradesh,2021,3,0,986088,5033603845
231,arunachal-pradesh,2021,3,1,600102,187390578.3
232,arunachal-pradesh,2021,3,2,314658,449869060.8
233,arunachal-pradesh,2021,3,3,1934,3348547.827
234,arunachal-pradesh,2021,3,4,4185,3912143.35
235,arunachal-pradesh,2021,4,0,1227616,6022733378
236,arunachal-pradesh,2021,4,1,633248,207784816.3
237,arunachal-pradesh,2021,4,2,521447,704195695
238,arunachal-pradesh,2021,4,3,2386,3933557.28
239,arunachal-pradesh,2021,4,4,5901,4862905.886
240,assam,2018,1,0,632092,93491181.14
241,assam,2018,1,1,318025,993525196
242,assam,2018,1,2,40482,34501622.89
243,assam,2018,1,3,18172,4936862.201
244,assam,2018,1,4,48110,31349594
245,assam,2018,2,0,984160,174427478.2
246,assam,2018,2,1,530781,2064314053
247,assam,2018,2,2,79307,73366344.81
248,assam,2018,2,3,22773,7051504.658
249,assam,2018,2,4,46852,31425754.73
250,assam,2018,3,0,1275136,254569069.3
251,assam,2018,3,1,843571,3424136710
252,assam,2018,3,2,159532,96783839.37
253,assam,2018,3,3,22677,4741123.822
254,assam,2018,3,4,50935,30904247.88
255,assam,2018,4,0,1703488,317661277.3
256,assam,2018,4,1,1279089,5284776455
257,assam,2018,4,2,667293,240563395.3
258,assam,2018,4,3,28035,6331912.527
259,assam,2018,4,4,56267,38689818.79
260,assam,2019,1,0,1993220,400281677.9
261,assam,2019,1,1,1976310,7291433301
262,assam,2019,1,2,494871,266644645.7
263,assam,2019,1,3,20162,4612454.113
264,assam,2019,1,4,48442,39127457.94
265,assam,2019,2,0,2512932,539315772.9
266,assam,2019,2,1,2293770,10035232821
267,assam,2019,2,2,573646,326844709.6
268,assam,2019,2,3,13654,4037222.414
269,assam,2019,2,4,60927,49538663.41
270,assam,2019,3,0,2713539,11835800855
271,assam,2019,3,1,2645302,639885372.7
272,assam,2019,3,2,513728,421380275.4
273,assam,2019,3,3,8606,6403456.345
274,assam,2019,3,4,61396,46973660.74
275,assam,2019,4,0,3222143,14083346879
276,assam,2019,4,1,2937800,704118874
277,assam,2019,4,2,544053,456318130.1
278,assam,2019,4,3,9621,3492255.086
279,assam,2019,4,4,46893,34707757.01
280,assam,2020,1,0,4058740,18977446152
281,assam,2020,1,1,3897975,971722606.2
282,assam,2020,1,2,792646,675423853
283,assam,2020,1,3,10173,7054325.508
284,assam,2020,1,4,49326,36781411.34
285,assam,2020,2,0,6045321,1612522829
286,assam,2020,2,1,3648386,17358374071
287,assam,2020,2,2,742400,749018053.2
288,assam,2020,2,3,19814,18130004.69
289,assam,2020,2,4,49278,28255168.01
290,assam,2020,3,0,5637893,26646565777
291,assam,2020,3,1,5292154,1627282416
292,assam,2020,3,2,1383230,1492484153
293,assam,2020,3,3,24954,28452966.03
294,assam,2020,3,4,59480,36605946.75
295,assam,2020,4,0,7538478,36013292451
296,assam,2020,4,1,5383505,1662189124
297,assam,2020,4,2,2392184,2466913306
298,assam,2020,4,3,29764,32314809.98
299,assam,2020,4,4,79523,51901628.47
300,assam,2021,1,0,9449096,45476079487
301,assam,2021,1,1,6494111,2103017762
302,assam,2021,1,2,3459132,3657261586
303,assam,2021,1,3,34049,41291047.38
304,assam,2021,1,4,75672,48814663.89
305,assam,2021,2,0,11668399,51521387891
306,assam,2021,2,1,9058005,2657676415
307,assam,2021,2,2,4562669,4914753140
308,assam,2021,2,3,49671,46106001.5
309,assam,2021,2,4,94161,52549929.27
310,assam,2021,3,0,15617592,64131823895
311,assam,2021,3,1,10284267,3248364164
312,assam,2021,3,2,7431371,8208706348
313,assam,2021,3,3,39479,43889820.5
314,assam,2021,3,4,131732,67715045.34
315,assam,2021,4,0,21393962,86801625127
316,assam,2021,4,1,12895755,13378765006
317,assam,2021,4,2,11484376,3842004488
318,assam,2021,4,3,60724,65456475.83
319,assam,2021,4,4,185544,97116796.58
320,bihar,2018,1,0,3159922,375559206.8
321,bihar,2018,1,1,2052089,5295346761
322,bihar,2018,1,2,194295,33999413.88
323,bihar,2018,1,3,138885,139827755.7
324,bihar,2018,1,4,279111,201025034.2
325,bihar,2018,2,0,4346849,700649777.1
326,bihar,2018,2,1,3447898,12141448845
327,bihar,2018,2,2,311487,318571872.8
328,bihar,2018,2,3,267433,45332532.1
329,bihar,2018,2,4,258711,300128082.6
330,bihar,2018,3,0,8893764,18695889188
331,bihar,2018,3,1,4401439,804061398.5
332,bihar,2018,3,2,586862,367608510.7
333,bihar,2018,3,3,274510,33276460.45
334,bihar,2018,3,4,211229,234968821.3
335,bihar,2018,4,0,8094296,26224303883
336,bihar,2018,4,1,5469096,986310785
337,bihar,2018,4,2,1680664,848968693.1
338,bihar,2018,4,3,237247,36199427.51
339,bihar,2018,4,4,251098,302214380.2
340,bihar,2019,1,0,16807040,38824078062
341,bihar,2019,1,1,7036367,1333688183
342,bihar,2019,1,2,2055267,1024997000
343,bihar,2019,1,3,204689,28599535.73
344,bihar,2019,1,4,252871,291464734.4
345,bihar,2019,2,0,15837449,58381285241
346,bihar,2019,2,1,9279442,1996804238
347,bihar,2019,2,2,4365465,2308145850
348,bihar,2019,2,3,129603,63338108.54
349,bihar,2019,2,4,348520,382864846.1
350,bihar,2019,3,0,15446119,61831776093
351,bihar,2019,3,1,9115040,2140566975
352,bihar,2019,3,2,7206001,3413490288
353,bihar,2019,3,3,89997,20145460.43
354,bihar,2019,3,4,282743,286804437.7
355,bihar,2019,4,0,26337842,86340631422
356,bihar,2019,4,1,11358597,2649616530
357,bihar,2019,4,2,5519582,4177574379
358,bihar,2019,4,3,100192,18815964.76
359,bihar,2019,4,4,214101,126788281.9
360,bihar,2020,1,0,23163922,99873688133
361,bihar,2020,1,1,13837430,3680590625
362,bihar,2020,1,2,7822567,5562692117
363,bihar,2020,1,3,57233,23954789.41
364,bihar,2020,1,4,200663,115927863.5
365,bihar,2020,2,0,26572651,1.16E+11
366,bihar,2020,2,1,19522564,5642294772
367,bihar,2020,2,2,7011681,6760404422
368,bihar,2020,2,3,73119,54077813.26
369,bihar,2020,2,4,206727,105377680.2
370,bihar,2020,3,0,37294332,1.54E+11
371,bihar,2020,3,1,19027978,6313780617
372,bihar,2020,3,2,14777337,13111735855
373,bihar,2020,3,3,104135,81355476.16
374,bihar,2020,3,4,299966,157309412.5
375,bihar,2020,4,0,49432098,2.08E+11
376,bihar,2020,4,1,26750991,23185594534
377,bihar,2020,4,2,19908687,6926960997
378,bihar,2020,4,3,119416,100785736
379,bihar,2020,4,4,380481,207713978
380,bihar,2021,1,0,58566582,2.42E+11
381,bihar,2021,1,1,33959313,30171144593
382,bihar,2021,1,2,21974086,8505455545
383,bihar,2021,1,3,124277,112949858.3
384,bihar,2021,1,4,308219,170787342.8
385,bihar,2021,2,0,78694099,3.20E+11
386,bihar,2021,2,1,44686786,43458914640
387,bihar,2021,2,2,31646149,11030849714
388,bihar,2021,2,3,149791,116086345.9
389,bihar,2021,2,4,426797,215721223.2
390,bihar,2021,3,0,92785704,3.32E+11
391,bihar,2021,3,1,64094961,53849745605
392,bihar,2021,3,2,30081746,11327303470
393,bihar,2021,3,3,135748,130349071.6
394,bihar,2021,3,4,572954,241260025.5
395,bihar,2021,4,0,117340712,4.24E+11
396,bihar,2021,4,1,95992559,81729122296
397,bihar,2021,4,2,30824177,13438634948
398,bihar,2021,4,3,186298,173358268.8
399,bihar,2021,4,4,783199,365400541.9
400,chandigarh,2018,1,0,201262,47479581.16
401,chandigarh,2018,1,1,135136,527998849.3
402,chandigarh,2018,1,2,21431,19477066.53
403,chandigarh,2018,1,3,8473,1865618.25
404,chandigarh,2018,1,4,15593,16614305.58
405,chandigarh,2018,2,0,224548,76722906.68
406,chandigarh,2018,2,1,194627,835296156.4
407,chandigarh,2018,2,2,34606,29408471.51
408,chandigarh,2018,2,3,11927,3679451.864
409,chandigarh,2018,2,4,13376,16116275.27
410,chandigarh,2018,3,0,295358,1217617706
411,chandigarh,2018,3,1,236445,100639674.7
412,chandigarh,2018,3,2,64998,37560565.97
413,chandigarh,2018,3,3,7642,1302311.597
414,chandigarh,2018,3,4,12493,12234189.32
415,chandigarh,2018,4,0,431461,1793871702
416,chandigarh,2018,4,1,310527,128130476
417,chandigarh,2018,4,2,135266,94010713.61
418,chandigarh,2018,4,3,10008,2039811.337
419,chandigarh,2018,4,4,17854,14538888.52
420,chandigarh,2019,1,0,689400,2123866602
421,chandigarh,2019,1,1,390610,161414934.1
422,chandigarh,2019,1,2,169984,97230471.44
423,chandigarh,2019,1,3,7412,917030.9067
424,chandigarh,2019,1,4,17070,12603012.34
425,chandigarh,2019,2,0,604849,2339922408
426,chandigarh,2019,2,1,342294,185659011.5
427,chandigarh,2019,2,2,277811,152766864.7
428,chandigarh,2019,2,3,5590,839765.1614
429,chandigarh,2019,2,4,21926,13928050.05
430,chandigarh,2019,3,0,722233,2815184153
431,chandigarh,2019,3,1,447069,226535908.8
432,chandigarh,2019,3,2,308219,213884900.5
433,chandigarh,2019,3,3,2447,794918.675
434,chandigarh,2019,3,4,26575,13282206.87
435,chandigarh,2019,4,0,927850,3586763929
436,chandigarh,2019,4,1,561630,318692521.8
437,chandigarh,2019,4,2,338203,237695595
438,chandigarh,2019,4,3,1911,654298.6785
439,chandigarh,2019,4,4,21321,8707473.863
440,chandigarh,2020,1,0,1087401,4421372542
441,chandigarh,2020,1,1,764832,438193845.5
442,chandigarh,2020,1,2,389851,257250007.2
443,chandigarh,2020,1,3,1574,1406138.188
444,chandigarh,2020,1,4,18853,8230536.663
445,chandigarh,2020,2,0,766698,3293060120
446,chandigarh,2020,2,1,390906,331423259
447,chandigarh,2020,2,2,361577,214425229.3
448,chandigarh,2020,2,3,1797,3982005.118
449,chandigarh,2020,2,4,7032,4125116.689
450,chandigarh,2020,3,0,981986,4178346395
451,chandigarh,2020,3,1,796634,604271248.9
452,chandigarh,2020,3,2,366353,296964795
453,chandigarh,2020,3,3,2643,5254415.457
454,chandigarh,2020,3,4,10470,4972498.603
455,chandigarh,2020,4,0,1322026,939307675.9
456,chandigarh,2020,4,1,1159377,4872318731
457,chandigarh,2020,4,2,409997,320731281.9
458,chandigarh,2020,4,3,3346,4400109.749
459,chandigarh,2020,4,4,17970,10005102.46
460,chandigarh,2021,1,0,1799072,1210594490
461,chandigarh,2021,1,1,1472084,5916467167
462,chandigarh,2021,1,2,678396,451109555.3
463,chandigarh,2021,1,3,5111,7700394.762
464,chandigarh,2021,1,4,15574,10549252.04
465,chandigarh,2021,2,0,1926913,1390989391
466,chandigarh,2021,2,1,1663559,6541132353
467,chandigarh,2021,2,2,806710,467698864.7
468,chandigarh,2021,2,3,5502,7394941.033
469,chandigarh,2021,2,4,14863,10458390.53
470,chandigarh,2021,3,0,3179506,2245390329
471,chandigarh,2021,3,1,2434417,8927868098
472,chandigarh,2021,3,2,1008585,620437997.4
473,chandigarh,2021,3,3,5700,7960844.904
474,chandigarh,2021,3,4,21170,14225734.85
475,chandigarh,2021,4,0,4056249,3041038520
476,chandigarh,2021,4,1,2797561,10610461952
477,chandigarh,2021,4,2,1013153,693790747.2
478,chandigarh,2021,4,3,7038,10459431.86
479,chandigarh,2021,4,4,24902,17832859.58
480,chhattisgarh,2018,1,0,1177618,206518662.8
481,chhattisgarh,2018,1,1,550697,1838238336
482,chhattisgarh,2018,1,2,42411,39708474.16
483,chhattisgarh,2018,1,3,33002,7350624.274
484,chhattisgarh,2018,1,4,87786,57339459.83
485,chhattisgarh,2018,2,0,1643461,351709628.1
486,chhattisgarh,2018,2,1,933066,3703114548
487,chhattisgarh,2018,2,2,118438,129967815.2
488,chhattisgarh,2018,2,3,40299,9405941.627
489,chhattisgarh,2018,2,4,80892,69972510.6
490,chhattisgarh,2018,3,0,1911374,443460556.8
491,chhattisgarh,2018,3,1,1619886,5647949188
492,chhattisgarh,2018,3,2,220572,145342066
493,chhattisgarh,2018,3,3,31927,6195179.157
494,chhattisgarh,2018,3,4,75845,59360083.75
495,chhattisgarh,2018,4,0,2438959,554514488.4
496,chhattisgarh,2018,4,1,2342713,8450105299
497,chhattisgarh,2018,4,2,458091,331842964.6
498,chhattisgarh,2018,4,3,42199,9709810.436
499,chhattisgarh,2018,4,4,83882,70240102.06
500,chhattisgarh,2019,1,0,4068056,11417366152
501,chhattisgarh,2019,1,1,2997095,679458794.5
502,chhattisgarh,2019,1,2,710047,374735986.9
503,chhattisgarh,2019,1,3,33835,5075418.743
504,chhattisgarh,2019,1,4,78636,67920032.8
505,chhattisgarh,2019,2,0,4350167,15410038390
506,chhattisgarh,2019,2,1,3435305,855753107.5
507,chhattisgarh,2019,2,2,1483870,654411637
508,chhattisgarh,2019,2,3,22563,4237631.554
509,chhattisgarh,2019,2,4,98040,77914922.92
510,chhattisgarh,2019,3,0,5021844,17584630268
511,chhattisgarh,2019,3,1,4335851,1069468754
512,chhattisgarh,2019,3,2,2772084,1074255589
513,chhattisgarh,2019,3,3,16452,4542997.939
514,chhattisgarh,2019,3,4,96880,70361559.29
515,chhattisgarh,2019,4,0,7241974,24112075521
516,chhattisgarh,2019,4,1,5112337,1257371455
517,chhattisgarh,2019,4,2,3852716,1720930748
518,chhattisgarh,2019,4,3,14974,4665759.804
519,chhattisgarh,2019,4,4,83757,48745253.9
520,chhattisgarh,2020,1,0,8109789,28723854869
521,chhattisgarh,2020,1,1,6400067,1688995018
522,chhattisgarh,2020,1,2,4923214,2393811867
523,chhattisgarh,2020,1,3,12424,7378557.223
524,chhattisgarh,2020,1,4,78497,46557359.68
525,chhattisgarh,2020,2,0,8366200,2504355747
526,chhattisgarh,2020,2,1,7216219,27351810048
527,chhattisgarh,2020,2,2,3158417,2361252112
528,chhattisgarh,2020,2,3,19986,17814454.61
529,chhattisgarh,2020,2,4,60103,33149845.44
530,chhattisgarh,2020,3,0,9734445,34661165923
531,chhattisgarh,2020,3,1,8705513,2790720003
532,chhattisgarh,2020,3,2,5591916,3990179454
533,chhattisgarh,2020,3,3,34893,39141096.45
534,chhattisgarh,2020,3,4,81772,45538330.63
535,chhattisgarh,2020,4,0,14257312,50812302053
536,chhattisgarh,2020,4,1,11677743,8238390462
537,chhattisgarh,2020,4,2,9423324,3033918783
538,chhattisgarh,2020,4,3,41308,48082346.06
539,chhattisgarh,2020,4,4,129949,82280639.52
540,chhattisgarh,2021,1,0,15621154,55638916992
541,chhattisgarh,2021,1,1,15222763,10661449529
542,chhattisgarh,2021,1,2,8456094,3000977539
